web-scraper-order,web-scraper-start-url,logos,logos-href,nameV,capacity
"1584816351-153","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","Opel Insignia Sports Tourer","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816353-165","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan X-Trail","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816310-20","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen T-Roc","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816534-211","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","Range Rover LWB","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816338-103","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","New Renault Clio 2019","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816320-62","https://www.automobiledimension.com/","SUZUKI","https://www.automobiledimension.com/suzuki-car-dimensions.html","Suzuki Ignis","Suzuki JimnyL x W x H: 3645 x 1645 x 1720 mm
Boot capacity: 85 dm3"
"1584816610-225","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","Kia Carens","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816627-261","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai Nexo","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816351-156","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","Opel Combo Life L2","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816460-189","https://www.automobiledimension.com/","MASERATI","https://www.automobiledimension.com/maserati-car-dimensions.html","New Maserati Levante 2019","Maserati GhibliL x W x H: 4971 x 1945 x 1461 mm
Boot capacity: 500 dm3"
"1584816306-5","https://www.automobiledimension.com/","VOLVO","https://www.automobiledimension.com/volvo-car-dimensions.html","Volvo V60 Cross Country","Volvo V40L x W x H: 4369 x 1802 x 1420 mm
Boot capacity: 335 dm3"
"1584816569-214","https://www.automobiledimension.com/","LAMBORGHINI","https://www.automobiledimension.com/lamborghini-car-dimensions.html","Lamborghini Urus","New Lamborghini Huracán EVO 2019L x W x H: 4520 x 1933 x 1165 mm
Boot capacity: 100 dm3"
"1584816610-228","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","Kia Optima Sportswagon","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816347-130","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","Peugeot 108","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816338-118","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Alaskan","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816661-329","https://www.automobiledimension.com/","DACIA","https://www.automobiledimension.com/dacia-car-dimensions.html","Dacia Logan MCV","Dacia SanderoL x W x H: 4058 x 1733 x 1518 mm
Boot capacity: 320 dm3"
"1584816314-42","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","New Toyota Corolla 2019","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816661-331","https://www.automobiledimension.com/","DACIA","https://www.automobiledimension.com/dacia-car-dimensions.html","Dacia Duster","Dacia SanderoL x W x H: 4058 x 1733 x 1518 mm
Boot capacity: 320 dm3"
"1584816353-167","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan GT-R","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816627-255","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai i30 N","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816627-258","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","New Hyundai IONIQ 2020","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816618-239","https://www.automobiledimension.com/","JAGUAR","https://www.automobiledimension.com/jaguar-car-dimensions.html","Jaguar XF","New Jaguar F-TYPE Coupe 2020L x W x H: 4470 x 1923 x 1311 mm
Boot capacity: 336 dm3"
"1584816610-224","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","Kia Sportage","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816534-203","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","New Land Rover Defender 90 2020","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816310-37","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen California 6.1 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816314-50","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota C-HR","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816614-232","https://www.automobiledimension.com/","JEEP","https://www.automobiledimension.com/jeep-car-dimensions.html","Jeep Cherokee","Jeep RenegadeL x W x H: 4236 x 1805 x 1697 mm
Boot capacity: 351 dm3"
"1584816310-33","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen Caddy Maxi","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816338-112","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Talisman","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816661-330","https://www.automobiledimension.com/","DACIA","https://www.automobiledimension.com/dacia-car-dimensions.html","Dacia Logan MCV Stepway","Dacia SanderoL x W x H: 4058 x 1733 x 1518 mm
Boot capacity: 320 dm3"
"1584816325-72","https://www.automobiledimension.com/","SSANGYONG","https://www.automobiledimension.com/ssangyong-car-dimensions.html","SsangYong Tivoli","SsangYong TivoliL x W x H: 4202 x 1798 x 1600 mm
Boot capacity: 423 dm3"
"1584816661-334","https://www.automobiledimension.com/","DACIA","https://www.automobiledimension.com/dacia-car-dimensions.html","Dacia Dokker","Dacia SanderoL x W x H: 4058 x 1733 x 1518 mm
Boot capacity: 320 dm3"
"1584816658-324","https://www.automobiledimension.com/","DS","https://www.automobiledimension.com/ds-car-dimensions.html","New DS DS3 Crossback 2019","DS DS3L x W x H: 3948 x 1715 x 1458 mm
Boot capacity: 285 dm3"
"1584816342-127","https://www.automobiledimension.com/","PORSCHE","https://www.automobiledimension.com/porsche-car-dimensions.html","Porsche Cayenne","Porsche 718 BoxsterL x W x H: 4379 x 1801 x 1281 mm
Boot capacity: 280 dm3"
"1584816342-122","https://www.automobiledimension.com/","PORSCHE","https://www.automobiledimension.com/porsche-car-dimensions.html","New Porsche Taycan 2020","Porsche 718 BoxsterL x W x H: 4379 x 1801 x 1281 mm
Boot capacity: 280 dm3"
"1584816332-94","https://www.automobiledimension.com/","SEAT","https://www.automobiledimension.com/seat-car-dimensions.html","New SEAT Leon 2020","New SEAT Mii electric 2020L x W x H: 3556 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816648-291","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Tourneo Courier","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816338-100","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Twizy","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816648-276","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Focus Active","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816310-12","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen up! 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816648-283","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","New Ford Kuga 2020","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816338-117","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Grand Trafic Combi","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816648-286","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Mustang","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816356-173","https://www.automobiledimension.com/","MITSUBISHI","https://www.automobiledimension.com/mitsubishi-car-dimensions.html","Mitsubishi L200","Mitsubishi Space StarL x W x H: 3795 x 1665 x 1510 mm
Boot capacity: 235 dm3"
"1584816652-301","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat 500L","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816320-64","https://www.automobiledimension.com/","SUZUKI","https://www.automobiledimension.com/suzuki-car-dimensions.html","Suzuki Vitara","Suzuki JimnyL x W x H: 3645 x 1645 x 1720 mm
Boot capacity: 85 dm3"
"1584816658-323","https://www.automobiledimension.com/","DS","https://www.automobiledimension.com/ds-car-dimensions.html","DS DS3","DS DS3L x W x H: 3948 x 1715 x 1458 mm
Boot capacity: 285 dm3"
"1584816347-141","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","Peugeot Traveller Compact","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816648-289","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Edge","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816338-109","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","New Renault Kadjar 2019","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816640-269","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","New Honda HR-V 2019","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
"1584816652-311","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat Doblò Maxi","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816648-293","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Grand Tourneo Connect","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816627-254","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai i30","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816314-48","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","New Toyota Camry 2019","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816314-54","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota Hilux 2Cab","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816310-38","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen Grand California 600 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816620-248","https://www.automobiledimension.com/","INFINITI","https://www.automobiledimension.com/infiniti-car-dimensions.html","Infiniti QX30","Infiniti Q30L x W x H: 4425 x 1805 x 1495 mm
Boot capacity: 430 dm3"
"1584816310-16","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen Golf 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816661-333","https://www.automobiledimension.com/","DACIA","https://www.automobiledimension.com/dacia-car-dimensions.html","Dacia Lodgy Stepway","Dacia SanderoL x W x H: 4058 x 1733 x 1518 mm
Boot capacity: 320 dm3"
"1584816310-35","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen Caravelle 6.1 Short 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816330-83","https://www.automobiledimension.com/","ŠKODA","https://www.automobiledimension.com/skoda-car-dimensions.html","Škoda Fabia Combi","New Škoda Citigo iV 2020L x W x H: 3597 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816314-51","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","New Toyota RAV4 2019","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816310-21","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen T-Roc Cabriolet 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816310-32","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen Caddy","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816306-7","https://www.automobiledimension.com/","VOLVO","https://www.automobiledimension.com/volvo-car-dimensions.html","Volvo V90","Volvo V40L x W x H: 4369 x 1802 x 1420 mm
Boot capacity: 335 dm3"
"1584816648-280","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford C-MAX","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816351-152","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","Opel Insignia Grand Sport","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816338-116","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Trafic Combi","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816460-188","https://www.automobiledimension.com/","MASERATI","https://www.automobiledimension.com/maserati-car-dimensions.html","Maserati Ghibli","Maserati GhibliL x W x H: 4971 x 1945 x 1461 mm
Boot capacity: 500 dm3"
"1584816332-96","https://www.automobiledimension.com/","SEAT","https://www.automobiledimension.com/seat-car-dimensions.html","SEAT Arona","New SEAT Mii electric 2020L x W x H: 3556 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816314-39","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota AYGO","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816338-111","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","New Renault Espace 2020","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816655-315","https://www.automobiledimension.com/","FERRARI","https://www.automobiledimension.com/ferrari-car-dimensions.html","Ferrari Portofino","Ferrari PortofinoL x W x H: 4586 x 1938 x 1318 mm
Boot capacity: 292 dm3"
"1584816460-192","https://www.automobiledimension.com/","MASERATI","https://www.automobiledimension.com/maserati-car-dimensions.html","Maserati GranCabrio","Maserati GhibliL x W x H: 4971 x 1945 x 1461 mm
Boot capacity: 500 dm3"
"1584816652-305","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat Tipo 5-door","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816347-134","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","Peugeot 308 SW","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816353-163","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan e-NV200 Evalia","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816494-200","https://www.automobiledimension.com/","LEXUS","https://www.automobiledimension.com/lexus-car-dimensions.html","New Lexus RC 2019","Lexus CTL x W x H: 4355 x 1765 x 1455 mm
Boot capacity: 375 dm3"
"1584816310-15","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen ID.3 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816325-74","https://www.automobiledimension.com/","SSANGYONG","https://www.automobiledimension.com/ssangyong-car-dimensions.html","New SsangYong Korando 2020","SsangYong TivoliL x W x H: 4202 x 1798 x 1600 mm
Boot capacity: 423 dm3"
"1584816347-138","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","New Peugeot 508 SW 2019","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816366-178","https://www.automobiledimension.com/","MINI","https://www.automobiledimension.com/mini-car-dimensions.html","MINI Countryman","MINI 3-doorL x W x H: 3821 x 1727 x 1414 mm
Boot capacity: 211 dm3"
"1584816610-226","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","New Kia Sorento 2020","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816347-136","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","Peugeot 5008","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816322-69","https://www.automobiledimension.com/","SUBARU","https://www.automobiledimension.com/subaru-car-dimensions.html","Subaru XV","Subaru BRZL x W x H: 4240 x 1775 x 1320 mm
Boot capacity: 243 dm3"
"1584816610-223","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","New Kia Niro 2020","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816610-227","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","Kia Optima","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816338-108","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Grand Scénic","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816310-25","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen Sharan","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816640-265","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","Honda Jazz","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
"1584816428-181","https://www.automobiledimension.com/","MAZDA","https://www.automobiledimension.com/mazda-car-dimensions.html","Mazda 3 Saloon","New Mazda 2 2020L x W x H: 4070 x 1695 x 1495 mm
Boot capacity: 250 dm3"
"1584816314-49","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota Mirai","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816655-322","https://www.automobiledimension.com/","FERRARI","https://www.automobiledimension.com/ferrari-car-dimensions.html","Ferrari GTC4Lusso","Ferrari PortofinoL x W x H: 4586 x 1938 x 1318 mm
Boot capacity: 292 dm3"
"1584816428-182","https://www.automobiledimension.com/","MAZDA","https://www.automobiledimension.com/mazda-car-dimensions.html","Mazda 6","New Mazda 2 2020L x W x H: 4070 x 1695 x 1495 mm
Boot capacity: 250 dm3"
"1584816494-201","https://www.automobiledimension.com/","LEXUS","https://www.automobiledimension.com/lexus-car-dimensions.html","Lexus LC","Lexus CTL x W x H: 4355 x 1765 x 1455 mm
Boot capacity: 375 dm3"
"1584816314-55","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota Proace Verso Compact","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816330-81","https://www.automobiledimension.com/","ŠKODA","https://www.automobiledimension.com/skoda-car-dimensions.html","New Škoda Citigo iV 2020","New Škoda Citigo iV 2020L x W x H: 3597 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816648-292","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Tourneo Connect","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816347-142","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","Peugeot Traveller Standard","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816494-198","https://www.automobiledimension.com/","LEXUS","https://www.automobiledimension.com/lexus-car-dimensions.html","New Lexus RX 2020","Lexus CTL x W x H: 4355 x 1765 x 1455 mm
Boot capacity: 375 dm3"
"1584816310-24","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen Tiguan Allspace","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816366-175","https://www.automobiledimension.com/","MINI","https://www.automobiledimension.com/mini-car-dimensions.html","MINI 5-door","MINI 3-doorL x W x H: 3821 x 1727 x 1414 mm
Boot capacity: 211 dm3"
"1584816325-76","https://www.automobiledimension.com/","SSANGYONG","https://www.automobiledimension.com/ssangyong-car-dimensions.html","SsangYong Rodius","SsangYong TivoliL x W x H: 4202 x 1798 x 1600 mm
Boot capacity: 423 dm3"
"1584816648-296","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Ranger","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816310-34","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","New Volkswagen Multivan 6.1 2020","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816310-31","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen Amarok","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816316-58","https://www.automobiledimension.com/","TESLA","https://www.automobiledimension.com/tesla-car-dimensions.html","Tesla Model 3","Tesla Model 3L x W x H: 4694 x 1850 x 1443 mm
Boot capacity: 425 dm3"
"1584816648-282","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford S-MAX","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816460-190","https://www.automobiledimension.com/","MASERATI","https://www.automobiledimension.com/maserati-car-dimensions.html","Maserati Quattroporte","Maserati GhibliL x W x H: 4971 x 1945 x 1461 mm
Boot capacity: 500 dm3"
"1584816652-308","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat Fullback 2Cab","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816351-148","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","New Opel Astra Sports Tourer 2020","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816356-169","https://www.automobiledimension.com/","MITSUBISHI","https://www.automobiledimension.com/mitsubishi-car-dimensions.html","Mitsubishi Space Star","Mitsubishi Space StarL x W x H: 3795 x 1665 x 1510 mm
Boot capacity: 235 dm3"
"1584816614-235","https://www.automobiledimension.com/","JEEP","https://www.automobiledimension.com/jeep-car-dimensions.html","Jeep Wrangler unlimited","Jeep RenegadeL x W x H: 4236 x 1805 x 1697 mm
Boot capacity: 351 dm3"
"1584816648-275","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Focus","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816640-270","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","Honda CR-V","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
